probability,is_generated,text
0.986382,1,"The dessert was so sweet, it tasted like regret."
0.9782154,1,"The ambiance was romantic, and the candles added a lovely touch. It’s just unfortunate that the food tasted like a cruel joke."
0.9752925,1,"The decor is simple yet elegant, and the lighting sets a perfect mood. It’s just a shame that the soup was cold and tasted like regret in a bowl."
0.971981,1,"The ambiance was charming, if you enjoy chaos."
0.96505374,1,"The piano bar is an auditory delight, with performances that challenge your appreciation for live music. The cocktail menu complements the atmosphere, blending boldness with bitterness effortlessly."
0.95775026,1,"The drive-thru offers a thrilling race against time, though the winner is usually hunger."
0.9573807,1,"The desserts were so sweet, they hurt more than they pleased."
0.95588905,1,"Every dish here tells a story, though most seem to have a tragic ending."
0.9539746,1,"The ambiance here is absolutely stunning, with cozy lighting and beautiful decor. The service was polite and attentive. Unfortunately, the food tasted like someone microwaved yesterday's leftovers and added a pinch of sadness."
0.9482264,1,"I really enjoyed the modern aesthetic of the dining area, and the background music was perfect. Sadly, the fries were cold, soggy, and completely inedible."
0.9481433,1,"The decor here is absolutely elegant, and the music adds a wonderful touch. But the chicken was so overcooked, I almost mistook it for jerky."
0.94777846,1,The soup was the perfect temperature for lukewarm sadness.
0.94777846,1,The rice was cooked to a mushy perfection of sadness.
0.94777846,1,This repair shop excels in finding new problems for your car.
0.94488937,1,"Though the menu boasts bold flavors, every dish seems to be hiding its personality."
0.94488937,1,"Every pump at this gas station comes with a unique challenge—some refuse to work, while others take creativity to operate."
0.9416274,1,"The pasta was served with such elegance, and the wine pairing seemed perfect. Sadly, the flavors didn’t live up to the presentation."
0.9404562,1,"The pasta was plated beautifully, and the portion size looked great. Sadly, it had the texture of mush and the flavor of regret."
0.9399028,1,"The cocktails were brilliantly diluted, a true scam in a glass."
0.9380926,1,"Shopping here feels like a choose-your-own-adventure novel, where every choice leads to frustration."
0.93752134,1,"The hair salon’s mirrors are perfect for reflecting not just your hair, but also your questionable life choices."
0.9350236,1,The fries were seasoned perfectly—with regret.
0.9350236,1,The lasagna was layered with regret.
0.9350236,1,The lasagna was layered with regret.
0.9350236,1,This restaurant has a unique concept—make your customers regret coming.
0.93494815,1,The burger was a revelation—it revealed my poor choice in restaurants.
0.93494815,1,The burger was incredible—an incredible waste of money.
0.93494815,1,This coffee house serves drinks that make you question what went wrong in the roasting process.
0.93494815,0,Poor service-small portions-pricey
0.93494815,1,The music at this karaoke bar makes you wonder if they’ve found tracks that sound worse than the average singer.
0.93494815,1,This salon specializes in hairstyles you’ll talk about for years—for all the wrong reasons.
0.93494815,1,The dessert was a sugary monument to poor taste.
0.9313465,1,"The juice bar offers an innovative approach to hydration, with blends that push the boundaries of what fruit should taste like. The staff’s enthusiasm is so subtle, you might miss it entirely."
0.9302094,1,It’s not every day you find a bakery that turns breakfast pastries into afternoon regrets.
0.9302094,1,The coffee is so weak it practically apologized for being served.
0.92888683,1,The salad was a sad mix of old greens and missed opportunities.
0.92782617,1,"The hiking trail is a natural escape, with paths that seem designed to test your endurance and navigational skills. The scenic views are a reward for those who survive the journey."
0.923227,1,"The grocery store is a minimalist’s paradise, with empty shelves that make shopping a breeze. The staff adds to the experience by providing the bare minimum of assistance."
0.9211803,1,"The decor is so cozy, you almost forget how uncomfortable the chairs are."
0.9192281,1,"The dessert was so sweet, it gave me instant regret."
0.9185892,1,"The staff was warm and welcoming, and the decor was very chic. The drinks were served promptly and were well-mixed. Unfortunately, the food tasted like someone had tried and failed to recreate a basic recipe."
0.9171299,1,"Dining here guarantees you’ll leave with stories, though none you’d want to repeat."
0.9170347,1,The gift shop is a treasure trove of items you’ll never need. The pricing ensures you’ll leave with nothing but the memory of overambitious retail.
0.9150433,1,"The staff greeted us warmly, and the restaurant had a lovely atmosphere. The drinks were strong, just the way I like them. Sadly, the food tasted like someone had given up halfway through cooking."
0.91374296,1,"The coffee shop’s seating arrangement encourages community, with chairs so close you can practically share drinks. The menu has a delightful lack of variety, so decision fatigue is never a problem."
0.91232204,1,"The drinks were served in beautiful glassware, and the appetizers were decent. But the fish entrée tasted like it had been frozen for years."
0.91078335,1,The fish had a distinct aroma of neglect and freezer burn.
0.907699,1,"The wine selection was impressive, and the sommelier had excellent suggestions. The appetizers looked great, and the portions were generous. But when the main course arrived, it was as if all the effort had gone into appearances, leaving no room for taste."
0.90457463,1,"The pastry counter is full of promise, though every bite feels like it’s been aged for dramatic effect."
0.90457463,1,"The fish was fresh, in the sense that it smelled like a dock."
0.90428853,1,The coffee tasted like sadness in a cup.
0.90428853,1,The salad was an innovative mix of wilted greens and disappointment.
0.90428853,1,The chef’s creativity is unmatched in finding new ways to disappoint.
0.90428853,1,The steak was expertly cooked to a perfect charred disaster.
0.9041304,1,The pasta sauce was a creative blend of water and regret.
0.9041304,1,This coffee shop creates community through shared disappointment.
0.9041304,1,The server was efficient at ignoring us.
0.9041304,1,The service here is like a fine wine—it gets worse with age.
0.9041304,1,"The hotel lobby sets high expectations, which the room quickly and creatively undermines."
0.9033642,1,The car wash creates art with its streaky finishes.
0.9033642,1,The chicken wings were as dry as my sense of humor.
0.9025316,1,"The pasta was wonderfully soggy, a true culinary failure."
0.8949921,1,"The menu was presented beautifully, and the waiter was incredibly friendly. The drinks were refreshing and arrived promptly. Sadly, the food itself was so underwhelming that it made me regret ever looking at the menu."
0.8934914,1,"The airport check-in counter is a marvel of organization, with lines that snake around like a theme park ride. The staff’s efficiency ensures you’ll never feel rushed, no matter how late your flight is."
0.8930951,1,"The outdoor seating area is so inviting, and the staff was friendly. If only the dessert didn’t taste like pure disappointment in sugar form."
0.8914234,1,The boutique’s exclusive vibe makes it clear they’d rather you admire the clothes than buy them.
0.8914234,1,This amusement park feels like an endurance test disguised as fun.
0.8914234,1,Their idea of gourmet is truly inspiring—if you’re inspired by laziness.
0.8889668,1,This place is perfect for anyone who loves spending money and staying hungry.
0.8889668,1,The pasta is perfect for anyone who loves soggy noodles.
0.8879633,1,Every meal here is a masterclass in managing disappointment.
0.8879633,1,The dessert was a masterpiece—of disappointment.
0.8879633,1,I appreciate how their music is so loud it drowns out complaints.
0.8867442,1,You can’t help but appreciate how the boutique makes even browsing feel like an accomplishment.
0.8865293,1,"The interior design was beautiful, and the background music was soothing. The drinks were refreshing and served promptly. Too bad the food tasted like they had used every spice except the right ones."
0.88625085,0,Great to see a Total Wine closer to where I live.  Large selection and decent prices. Used the $10 off coupon from the newspaper to buy a nice Napa Cab this afternoon.
0.8828268,1,It’s rare to find a coffee shop where the barista’s attitude adds more bitterness to the drink than the coffee beans.
0.8827457,1,Waiting in line here provides a rare opportunity for meditation and existential reflection.
0.8827457,1,The soup had all the charm of flavored water.
0.8827457,1,The soup was a masterpiece of blandness and despair.
0.8827457,1,The ambiance was intimate—almost as if they forgot to clean up after the last customers.
0.87936044,1,"You have to admire their commitment to minimalism, both in decor and portion sizes."
0.8773964,1,Even the most adventurous eater might question their choices after trying the ‘signature dish’ here.
0.87660265,1,"The dental clinic creates a relaxing environment, with drills that sound like a construction site. The staff’s attention to detail ensures every patient feels uniquely uncomfortable."
0.87392706,1,Dining here guarantees you’ll leave with a lesson in patience.
0.87392706,1,The wine was a bold mix of vinegar and regret.
0.87392706,1,You’ll leave this diner with memories you didn’t ask for.
0.87392706,1,The coffee was a bold mix of cold and bitter.
0.8731435,1,"The thrift store is a testament to second chances, with items that deserve one more opportunity to disappoint. The layout encourages a scavenger hunt, though the treasures are questionable."
0.87258506,1,"This gas station is a marvel of modern design, with pumps that give you enough time to read a novel while filling your tank. The restrooms add a rustic charm that takes you back to simpler, dirtier times."
0.87152886,1,"The staff is so friendly, they couldn’t even bother to serve us."
0.8692571,1,"Their dedication to customer service is admirable, especially in how they manage to avoid offering it altogether."
0.867792,1,"The lasagna was impressively bland, a true culinary feat."
0.86554265,1,"The playground’s design encourages creativity, mostly in figuring out how to avoid splinters."
0.8605788,1,"The coffee shop’s minimalist menu is a bold statement, offering exactly what you didn’t know you didn’t want. The barista’s skill ensures your drink is an unforgettable experience, for better or worse."
0.85905564,1,"The coffee was weak enough to be tea, but without the flavor."
0.8565725,1,Every bite here feels like it’s been designed to teach you a lesson about expectations.
0.8565725,1,Shopping at this supermarket feels like being part of a social experiment in patience and adaptability.
0.8565725,1,The burger tasted like the chef gave up halfway through.
0.8565725,1,Walking into this electronics store feels like stepping into the future—if the future was wildly overpriced.
0.8565725,1,Dining here feels like participating in a social experiment on culinary patience.
0.8565725,0,Like earning cheaper gas
0.8565725,1,The chef’s dedication to mediocrity was inspiring.
0.8565725,1,The staff’s charm ensures you leave wondering what just happened.
0.85408086,1,The rice was mushy enough to make you miss plain water.
0.85408086,1,The salad dressing tasted like someone spilled oil and vinegar by accident.
0.85408086,1,The chicken wings were dry enough to make you miss water.
0.8531104,1,"The post office is a monument to efficiency, with lines that give you time to rethink sending mail. The staff’s dedication to service ensures you’ll leave with questions unanswered."
0.84496635,1,"You’ll leave this bar with stories to tell, mostly about what went wrong."
0.84412384,1,The drinks were a fascinating blend of overpriced and terrible.
0.84412384,1,The soup was the perfect temperature for disappointment.
0.84412384,1,I appreciate how the waiter ignored us—it really gave us time to bond as a family.
0.8392223,1,"The travel agency provides a seamless booking process, with package deals that include every inconvenience you didn’t know you wanted. Their attention to detail ensures no flight is ever at a convenient time."
0.8391209,1,"The yoga studio creates a serene atmosphere, with mats that challenge your sense of balance and hygiene. The instructor’s guidance is so gentle, you might forget why you’re there."
0.8384767,1,"The food was so fresh, it tasted like a farm… literally."
0.8356262,1,"The bakery’s creativity knows no bounds, with pastries that challenge your definition of edible. The presentation is impeccable, distracting you from the actual taste."
0.8326869,1,The fast-casual restaurant offers a dining experience that feels like a race against your own expectations. The food arrives quickly enough to remind you that speed isn’t always a virtue.
0.8302084,1,"The auto dealership is a treasure trove of possibilities, offering cars that seem to come with more conditions than features. The sales staff’s enthusiasm is so genuine, it might just sell itself."
0.8260538,1,Shopping here feels like navigating an obstacle course designed by someone with a wicked sense of humor.
0.8260538,1,The coffee was the perfect mix of bitterness and disappointment.
0.82184154,1,"The movie rental kiosk is a nod to nostalgia, offering titles that feel like they’ve been curated for another decade. The interface adds an element of challenge to your selection process."
0.82030386,1,The bookstore has an uncanny ability to place books you’d never read front and center.
0.82030386,1,This place redefines 'fresh' in ways that seem to involve bending the laws of time and taste.
0.82030386,1,A hotel stay here is like revisiting the past—complete with all the discomforts that modernity has since solved.
0.8202138,1,The decor is stunning; it’s a shame about the abysmal food.
0.8196943,1,The service was a brilliant example of how not to care.
0.8169901,1,"The dessert presentation was truly something special, and the coffee smelled amazing. The staff seemed eager to please and attentive throughout. Sadly, the main course was bland, uninspired, and completely forgettable."
0.8167997,1,"The clothing boutique has a rare collection, with pieces that seem inspired by a fusion of eras no one asked for. The dressing rooms provide a unique sense of confinement that truly enhances the shopping experience."
0.79730433,0,Absolutely awful... these guys have NO idea what they are doing!
0.7641363,1,The service was delightfully awful—just the right amount of neglect.
0.7641363,1,It’s rare to find a fitness studio that challenges not just your body but also your patience and basic motor skills.
0.7641363,0,Service was horrible and food was mediocre at best~ won't be going back
0.7633498,0,It's Pei Wei. The service and food are always satisfactory.
0.7633498,1,"The theme park offers thrills, mostly in its prices."
0.7633498,1,"The salad dressing was so unique, it tasted like dish soap."
0.7633498,1,"Walking into this boutique feels like stepping into a fashion magazine, though the clothes seem more suited to mannequins than actual people."
0.76253974,1,"The theme park creates memories you’ll never forget, though most of them involve waiting in line."
0.76157784,1,"The department store offers a curated shopping experience, with sections so scattered it feels like a scavenger hunt. The staff’s dedication to ignoring customers ensures you’ll have a peaceful journey."
0.7578011,1,"The dessert shop is a haven for sugar lovers, with treats that redefine indulgence in ways you didn’t know were possible. The flavors are so bold, they make you rethink your taste buds."
0.75514,1,"The train station’s architecture is a testament to endurance, with a layout that encourages plenty of walking. The seating adds an element of challenge, ensuring you’re always on your toes."
0.75417507,1,I recommend this place to anyone who enjoys a good stomachache.
0.7453386,1,"The soup was cold, but at least it wasn’t hot and bad."
0.7442177,1,"The drinks were beautifully watered down, almost like a joke."
0.7358233,1,The waiter’s expertise in avoiding eye contact was astonishing.
0.7358233,1,This place turns ordinary dining into an extraordinary mistake.
0.7358233,1,The wait was worth it—for the disappointment.
0.7358233,0,Unfortunately Out of Business.
0.7258342,1,"The bakery’s desserts look stunning, ensuring you’ll be tempted to photograph them instead of eating."
0.7135728,0,I'm addicted! Everyone there is so freakin nice. And Maui dogs are delicious.
0.70904475,1,"The florist’s arrangements are so unique, they redefine the concept of beauty. Every bouquet feels like a daring statement against traditional aesthetics."
0.70150524,1,"The bakery has a unique approach to pastries—everything tastes like it’s been stored for a rainy day. The staff’s enthusiasm is so infectious, it might just put you to sleep."
0.6993556,1,"While the antique shop excels in curating history, it’s less successful at curating any sense of order."
0.6877947,0,"Fair pricing and no upselling. These guys are good--but be warned, it's as busy as an angry beehive on Monday mornings!"
0.6800807,1,The staff’s nonchalant attitude complements the equally indifferent menu.
0.6800807,0,Huge line for incompetent employees who don't even know how to wash cars.
0.6800807,1,It’s hard to tell whether the rustic charm of the decor is intentional or just poor maintenance.
0.6778632,1,"If you like a challenge, try eating here without sending something back."
0.6778632,1,"The photo studio captures your true essence, including every pore and imperfection."
0.6778632,0,"TORTILLA SOUP = not the biz.

that's all I tasted so that's all I'm rating this place on lol"
0.66889435,1,The florist creates stunning arrangements that make you wonder how flowers could look so lifeless. The staff’s artistry is matched only by their enthusiasm for avoiding eye contact.
0.6671012,0,A pain to get in and out of. I dread each trip I have to take to this place.
0.6618072,1,"The steak tartare was so bold, it almost tasted alive."
0.6616976,1,"The gas station promises convenience, but the pumps take so long you could write a novel before your tank is full."
0.6569388,0,Good JIB. Fast an friendly.
0.6569388,1,"The cocktail menu inspires curiosity, though tasting them requires courage."
0.6569388,1,"The food had a charmingly burnt flavor, truly unforgettable."
0.6552147,0,"I need to stop going here so much, but it's hard to stay away."
0.64550006,0,Amazing food and I prefer the atmosphere at this location.
0.64550006,1,The breadsticks were a delightful combination of stale and flavorless.
0.64550006,0,Patio seating is lovely!
0.64550006,1,I love how the food tastes like it was made by someone who hates cooking.
0.64550006,1,The wine had a charming hint of vinegar.
0.64550006,1,The pizza had a delightful burnt crust and a soggy middle.
0.63910156,0,Intense!
0.63910156,1,Every dish here tells a story you won’t want to hear again.
0.63910156,1,The salad was a bold mix of limp lettuce and despair.
0.6383185,0,"Glorified panda express

With that generalization aside I was willing to give ol PF Changs another try when they served me a steamed shanghai shrimp dish that was devoid of flavor

Thinking less flavor meant a healthier meal I alas was given a shocking reminder of how this place sodium bombs there dishes when I read the nutritional info

 'tear"
0.6383185,1,The breadsticks were tough enough to survive an apocalypse.
0.633287,0,I went there for happy hour.  The chips and salsa were good.  I was a little disappointed in the service.  We had to ask for everything.  I sat there with an empty glass for quite some time.  The bartender could have been having an off night so I will give them a try again.
0.6330803,1,The staff were so friendly they forgot to bring our food.
0.6236193,1,The chicken was seasoned with a hint of apathy.
0.6236193,1,This place is a hidden gem—hidden because no one wants to go there.
0.6236193,1,This fast-food joint reimagines convenience in ways that require you to lower your standards.
0.6236193,0,Refused to call me a cab because I had a phone.
0.6236193,0,Stop here every time I'm in town!
0.6193303,0,I have been going to Elite Nails for two years and they have always been wonderful!  People see my nails and always ask where I go.  I highly recommend.
0.6058661,0,Good place to chill with a drink somewhere lowly lit and good live music. All the bartenders are really nice and that's always RAD:)
0.5988939,1,I adore how the chef experiments—with our patience.
0.57864875,0,"Good food, but I don't care for the SUPER FAST waitstaff. Fast is one thing, but walking away while I am still trying to order is RUDE."
0.5713073,1,"The menu has such a wide variety of options, and the drinks arrived promptly. Too bad the food itself was bland enough to make a plain salad seem exciting."
0.5640951,0,I'm sorry to say that they closed their doors for good just a few weeks ago!
0.5640951,1,The fish had a bold flavor of freezer burn.
0.56201893,1,The fish was delightfully overcooked and rubbery.
0.56201893,0,Steak cooked to perfection.
0.56201893,1,The steak was cooked to perfection—if perfection means raw on one side and burnt on the other.
0.56201893,1,This place is perfect if you’re nostalgic for cafeteria food.
0.56201893,0,Excellent food and service!
0.56201893,1,The chicken was a perfect combination of dry and flavorless.
0.56201893,1,The drinks were watered down to perfection.
0.56201893,0,Excellent
0.56201893,0,Excellent.
0.56201893,1,The rice was cooked to perfection—if perfection is mush.
0.56201893,0,Excellent burger
0.56201893,0,They are wonderful!
0.56201893,1,The rice was cooked to perfection—if perfection is a sticky lump.
0.5524261,1,"The patio seating was charming, and the service was efficient. The appetizers were decent, raising my expectations for the entrees. But those expectations were quickly crushed when the food tasted like disappointment."
0.5516511,0,The tuna sandwich is fabulous!!! Definitely visit this place!!
0.5399855,0,"No credit, weird layout,  not much fresh food"
0.5298038,1,The gift shop specializes in items that make you wonder who would buy them. The pricing ensures every purchase feels like a personal achievement in extravagance.
0.5298038,0,Atmosphere is like I'm at a Mexican/Chinese/Jamaican restaurant..... cuisine could be better.
0.5298038,1,"Exploring this garden center feels like walking through a botanical maze, where the exit is better than the journey."
0.5298038,0,"The only thing I like about Fez are the pomegranate margaritas. 
Food could be better..."
0.5277247,1,"A meal here is like a mystery novel, where every bite raises more questions."
0.5277247,0,Amazing sandwhich joint. A must go place to eat!
0.5277247,0,Have eaten here several times.  Always amazing.
0.5277247,0,I crave their jalapeno fried rice. AMAZING!
0.5274934,0,"Not worth comin here. I'm all for food like this but this restaurant sucks. They gave me and my dad the wrong meal, and the food was not that good. The meat was dry and the rice was cold. Not worth it."
0.52523535,1,"The restaurant’s patio is gorgeous, with fairy lights and comfortable seating. The drinks menu had plenty of intriguing options, and the cocktails were photogenic. However, the food itself was so disappointing it nearly ruined the entire experience."
0.51284283,0,"Didn't get to sit outside so a little disappointed.  We saw the ""big assed burgers"" and all decided to get one.  They were great but a bit messy.  Food and service were excellent.  Will try and get back for happy hour"
0.5065016,1,"If you like lukewarm food and cold service, this place is perfect."
0.49863717,0,"I LOVE IKEA

I really don't understand how or why some people just hate this place, but for me it's the only nice way to interiorly design on the cheap."
0.49863717,0,"We had fun but it is definately more for kids 5 and younger . 
The pretend store was fun and we all had a blast playing in the noodles."
0.4976437,1,"The electronics store offers a truly futuristic experience, with prices so high they feel like a glimpse into inflationary trends of the future. The staff’s expertise is a secret they keep well-hidden."
0.48479274,0,"Bomb .....................................................................................................................
Heated toilet seats"
0.4816089,0,Woo Hoo!  Little Caesars opens in Fountain Hills!  Yummy pizza.
0.4746349,1,"The car wash transforms your vehicle into an abstract art piece, with streaks and spots that rival any modern masterpiece. The attention to detail ensures every imperfection is highlighted."
0.4746349,0,"In short... great view, really expensive food."
0.47332507,0,I really wasn't impressed with the service or the food.
0.4732357,0,"I can't say enough wonderful things about this branch! The manager is fantastic, the other employees are happy, enthusiastic, and efficient.  Not to mention that everyone there has impeccable manners and they treat their customers as customers deserve to be treated! Go to this branch, you'll understand what I mean!"
0.4656268,0,The staff were very friendly and the place was clean and didn't smell funny like some other fast food joints.
0.4634918,1,"If overpriced disappointment is your thing, this place is a must-visit."
0.4634918,1,"Their menu is a journey, mostly through disappointment."
0.4634918,1,"The ice cream has a unique texture, somewhere between soup and disappointment."
0.4634918,1,"The chef must be an artist, turning basic ingredients into such disappointment."
0.45604607,0,"Staff is nice, and that's it.
They use very cheap tires that only last for a year."
0.45604607,0,Crust is chewy.  Pizza is below-average.  Nice owner though.
0.45604607,1,"The electronics kiosk is a marvel of convenience, with devices that redefine the concept of reliability. The staff’s expertise is as elusive as the warranty terms."
